2025-06-01 00:43:47,217 INFO    MainThread:1808 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-01 00:43:47,218 INFO    MainThread:1808 [wandb_setup.py:_flush():70] Configure stats pid to 1808
2025-06-01 00:43:47,218 INFO    MainThread:1808 [wandb_setup.py:_flush():70] Loading settings from C:\Users\milan\.config\wandb\settings
2025-06-01 00:43:47,218 INFO    MainThread:1808 [wandb_setup.py:_flush():70] Loading settings from C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\settings
2025-06-01 00:43:47,218 INFO    MainThread:1808 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-01 00:43:47,218 INFO    MainThread:1808 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\run-20250601_004347-qll1brdj\logs\debug.log
2025-06-01 00:43:47,219 INFO    MainThread:1808 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw\hw3\wandb\run-20250601_004347-qll1brdj\logs\debug-internal.log
2025-06-01 00:43:47,219 INFO    MainThread:1808 [wandb_init.py:init():852] calling init triggers
2025-06-01 00:43:47,219 INFO    MainThread:1808 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 1, 'label_smoothing': 0.1, '_wandb': {}}
2025-06-01 00:43:47,219 INFO    MainThread:1808 [wandb_init.py:init():893] starting backend
2025-06-01 00:43:47,219 INFO    MainThread:1808 [wandb_init.py:init():897] sending inform_init request
2025-06-01 00:43:47,258 INFO    MainThread:1808 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-06-01 00:43:47,259 INFO    MainThread:1808 [wandb_init.py:init():907] backend started and connected
2025-06-01 00:43:47,260 INFO    MainThread:1808 [wandb_init.py:init():1005] updated telemetry
2025-06-01 00:43:47,289 INFO    MainThread:1808 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-01 00:43:47,870 INFO    MainThread:1808 [wandb_init.py:init():1104] starting run threads in backend
2025-06-01 00:43:47,942 INFO    MainThread:1808 [wandb_run.py:_console_start():2573] atexit reg
2025-06-01 00:43:47,942 INFO    MainThread:1808 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-01 00:43:47,942 INFO    MainThread:1808 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-01 00:43:47,942 INFO    MainThread:1808 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-01 00:43:47,945 INFO    MainThread:1808 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-01 00:48:44,214 INFO    MsgRouterThr:1808 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
