No model found.
Episode 0 | Total reward: -973 | Epsilon: 0.09999
Episode 1 | Total reward: -973 | Epsilon: 0.09998
Episode 2 | Total reward: -973 | Epsilon: 0.09997
Episode 3 | Total reward: -973 | Epsilon: 0.09996
Episode 4 | Total reward: -973 | Epsilon: 0.09995
Episode 5 | Total reward: -973 | Epsilon: 0.09994
Episode 6 | Total reward: -973 | Epsilon: 0.09993
Episode 7 | Total reward: -973 | Epsilon: 0.09993
Episode 8 | Total reward: -973 | Epsilon: 0.09992
Episode 9 | Total reward: -973 | Epsilon: 0.09991
Episode 10 | Total reward: -973 | Epsilon: 0.09990
Episode 11 | Total reward: -973 | Epsilon: 0.09989
Episode 12 | Total reward: -973 | Epsilon: 0.09988
Episode 13 | Total reward: -973 | Epsilon: 0.09987
Episode 14 | Total reward: -973 | Epsilon: 0.09986
Episode 15 | Total reward: -973 | Epsilon: 0.09985
Episode 16 | Total reward: -973 | Epsilon: 0.09984
Episode 17 | Total reward: -973 | Epsilon: 0.09983
Episode 18 | Total reward: -973 | Epsilon: 0.09982
Episode 19 | Total reward: -973 | Epsilon: 0.09981
Episode 20 | Total reward: -973 | Epsilon: 0.09980
Episode 21 | Total reward: -973 | Epsilon: 0.09980
Episode 22 | Total reward: -973 | Epsilon: 0.09979
Episode 23 | Total reward: -973 | Epsilon: 0.09978
Episode 24 | Total reward: -972 | Epsilon: 0.09977
Episode 25 | Total reward: -973 | Epsilon: 0.09976
Episode 26 | Total reward: -973 | Epsilon: 0.09975
Episode 27 | Total reward: -973 | Epsilon: 0.09974
Episode 28 | Total reward: -973 | Epsilon: 0.09973
Episode 29 | Total reward: -973 | Epsilon: 0.09972
Episode 30 | Total reward: -973 | Epsilon: 0.09971
Episode 31 | Total reward: -973 | Epsilon: 0.09970
Episode 32 | Total reward: -973 | Epsilon: 0.09969
Episode 33 | Total reward: -973 | Epsilon: 0.09968
Episode 34 | Total reward: -973 | Epsilon: 0.09967
Saved model at step 1000
Episode 35 | Total reward: -973 | Epsilon: 0.09966
