No model found.
Episode 0 | Total reward: 7 | Epsilon: 0.09999
Episode 1 | Total reward: 45 | Epsilon: 0.09998
Saved model at step 100
Episode 2 | Total reward: 38 | Epsilon: 0.09996
Episode 3 | Total reward: 7 | Epsilon: 0.09995
Episode 4 | Total reward: 7 | Epsilon: 0.09995
Episode 5 | Total reward: 7 | Epsilon: 0.09994
Episode 6 | Total reward: 7 | Epsilon: 0.09994
Episode 7 | Total reward: 38 | Epsilon: 0.09992
Episode 8 | Total reward: 38 | Epsilon: 0.09990
Episode 9 | Total reward: 38 | Epsilon: 0.09989
Episode 10 | Total reward: 26 | Epsilon: 0.09987
Episode 11 | Total reward: 38 | Epsilon: 0.09986
Episode 12 | Total reward: 7 | Epsilon: 0.09985
Episode 13 | Total reward: 38 | Epsilon: 0.09984
Episode 14 | Total reward: 7 | Epsilon: 0.09983
Episode 15 | Total reward: 23 | Epsilon: 0.09982
Episode 16 | Total reward: 38 | Epsilon: 0.09980
Episode 17 | Total reward: 42 | Epsilon: 0.09978
Saved model at step 700
Episode 18 | Total reward: 77 | Epsilon: 0.09975
Episode 19 | Total reward: 7 | Epsilon: 0.09975
Episode 20 | Total reward: 38 | Epsilon: 0.09973
Episode 21 | Total reward: 7 | Epsilon: 0.09973
Episode 22 | Total reward: 38 | Epsilon: 0.09971
Episode 23 | Total reward: 7 | Epsilon: 0.09970
Episode 24 | Total reward: 46 | Epsilon: 0.09969
Episode 25 | Total reward: 37 | Epsilon: 0.09967
Episode 26 | Total reward: 7 | Epsilon: 0.09966
Episode 27 | Total reward: 38 | Epsilon: 0.09965
Episode 28 | Total reward: 17 | Epsilon: 0.09964
Episode 29 | Total reward: 17 | Epsilon: 0.09963
Episode 30 | Total reward: 18 | Epsilon: 0.09962
Episode 31 | Total reward: 22 | Epsilon: 0.09961
Episode 32 | Total reward: 21 | Epsilon: 0.09960
Episode 33 | Total reward: 27 | Epsilon: 0.09958
Episode 34 | Total reward: 47 | Epsilon: 0.09957
Episode 35 | Total reward: 38 | Epsilon: 0.09955
Episode 36 | Total reward: 29 | Epsilon: 0.09954
Episode 37 | Total reward: 33 | Epsilon: 0.09952
Episode 38 | Total reward: 38 | Epsilon: 0.09951
Episode 39 | Total reward: 17 | Epsilon: 0.09950
Episode 40 | Total reward: 36 | Epsilon: 0.09948
Episode 41 | Total reward: 22 | Epsilon: 0.09947
Episode 42 | Total reward: 29 | Epsilon: 0.09946
Episode 43 | Total reward: 38 | Epsilon: 0.09944
Episode 44 | Total reward: 27 | Epsilon: 0.09943
Episode 45 | Total reward: 20 | Epsilon: 0.09942
Episode 46 | Total reward: 22 | Epsilon: 0.09941
Episode 47 | Total reward: 22 | Epsilon: 0.09940
Episode 48 | Total reward: 26 | Epsilon: 0.09938
Episode 49 | Total reward: 38 | Epsilon: 0.09937
Episode 50 | Total reward: 32 | Epsilon: 0.09935
Episode 51 | Total reward: 20 | Epsilon: 0.09934
Episode 52 | Total reward: 38 | Epsilon: 0.09933
Episode 53 | Total reward: 38 | Epsilon: 0.09931
Episode 54 | Total reward: 38 | Epsilon: 0.09929
Episode 55 | Total reward: 28 | Epsilon: 0.09928
Episode 56 | Total reward: 30 | Epsilon: 0.09927
Episode 57 | Total reward: 27 | Epsilon: 0.09925
Episode 58 | Total reward: 29 | Epsilon: 0.09924
Episode 59 | Total reward: 31 | Epsilon: 0.09923
Episode 60 | Total reward: 22 | Epsilon: 0.09922
Episode 61 | Total reward: 38 | Epsilon: 0.09920
Episode 62 | Total reward: 28 | Epsilon: 0.09919
Episode 63 | Total reward: 21 | Epsilon: 0.09918
Episode 64 | Total reward: 32 | Epsilon: 0.09916
Episode 65 | Total reward: 21 | Epsilon: 0.09915
Episode 66 | Total reward: 32 | Epsilon: 0.09914
Episode 67 | Total reward: 22 | Epsilon: 0.09913
Episode 68 | Total reward: 32 | Epsilon: 0.09911
Episode 69 | Total reward: 22 | Epsilon: 0.09910
Episode 70 | Total reward: 20 | Epsilon: 0.09909
Episode 71 | Total reward: 22 | Epsilon: 0.09908
Episode 72 | Total reward: 27 | Epsilon: 0.09907
Episode 73 | Total reward: 20 | Epsilon: 0.09906
Episode 74 | Total reward: 27 | Epsilon: 0.09905
Episode 75 | Total reward: 21 | Epsilon: 0.09904
Episode 76 | Total reward: 26 | Epsilon: 0.09902
Episode 77 | Total reward: 25 | Epsilon: 0.09901
Episode 78 | Total reward: 25 | Epsilon: 0.09900
Episode 79 | Total reward: 26 | Epsilon: 0.09899
Episode 80 | Total reward: 38 | Epsilon: 0.09897
Episode 81 | Total reward: 27 | Epsilon: 0.09896
Episode 82 | Total reward: 30 | Epsilon: 0.09895
Episode 83 | Total reward: 38 | Epsilon: 0.09893
Episode 84 | Total reward: 38 | Epsilon: 0.09891
Episode 85 | Total reward: 23 | Epsilon: 0.09890
Episode 86 | Total reward: 22 | Epsilon: 0.09889
Episode 87 | Total reward: 28 | Epsilon: 0.09888
Episode 88 | Total reward: 32 | Epsilon: 0.09886
Episode 89 | Total reward: 22 | Epsilon: 0.09885
Episode 90 | Total reward: 37 | Epsilon: 0.09884
Episode 91 | Total reward: 32 | Epsilon: 0.09882
Episode 92 | Total reward: 32 | Epsilon: 0.09881
Episode 93 | Total reward: 24 | Epsilon: 0.09880
Episode 94 | Total reward: 31 | Epsilon: 0.09878
Episode 95 | Total reward: 37 | Epsilon: 0.09877
Episode 96 | Total reward: 36 | Epsilon: 0.09875
Episode 97 | Total reward: 25 | Epsilon: 0.09874
Episode 98 | Total reward: 24 | Epsilon: 0.09873
Episode 99 | Total reward: 22 | Epsilon: 0.09872
Episode 100 | Total reward: 35 | Epsilon: 0.09870
Episode 101 | Total reward: 25 | Epsilon: 0.09869
