Episode 0 | Total reward: 21.0 | Epsilon: 0.99994
Episode 1 | Total reward: 20.0 | Epsilon: 0.99988
Episode 2 | Total reward: 20.0 | Epsilon: 0.99981
Saved model at step 100
Episode 3 | Total reward: 20.0 | Epsilon: 0.99975
Episode 4 | Total reward: 20.0 | Epsilon: 0.99969
Episode 5 | Total reward: 21.0 | Epsilon: 0.99963
Saved model at step 200
Episode 6 | Total reward: 23.0 | Epsilon: 0.99956
Episode 7 | Total reward: 19.0 | Epsilon: 0.99950
Episode 8 | Total reward: 22.0 | Epsilon: 0.99944
Saved model at step 300
Episode 9 | Total reward: 22.0 | Epsilon: 0.99937
Episode 10 | Total reward: 18.0 | Epsilon: 0.99931
Episode 11 | Total reward: 21.0 | Epsilon: 0.99925
Saved model at step 400
Episode 12 | Total reward: 24.0 | Epsilon: 0.99918
Episode 13 | Total reward: 19.0 | Epsilon: 0.99912
Episode 14 | Total reward: 20.0 | Epsilon: 0.99906
Saved model at step 500
Episode 15 | Total reward: 20.0 | Epsilon: 0.99900
Episode 16 | Total reward: 19.0 | Epsilon: 0.99894
Episode 17 | Total reward: 24.0 | Epsilon: 0.99887
Saved model at step 600
Episode 18 | Total reward: 22.0 | Epsilon: 0.99880
Episode 19 | Total reward: 22.0 | Epsilon: 0.99874
Episode 20 | Total reward: 19.0 | Epsilon: 0.99868
Episode 21 | Total reward: 22.0 | Epsilon: 0.99861
Episode 22 | Total reward: 20.0 | Epsilon: 0.99855
Episode 23 | Total reward: 20.0 | Epsilon: 0.99849
Episode 24 | Total reward: 20.0 | Epsilon: 0.99843
Episode 25 | Total reward: 28.0 | Epsilon: 0.99835
Episode 26 | Total reward: 20.0 | Epsilon: 0.99829
Episode 27 | Total reward: 24.0 | Epsilon: 0.99822
Episode 28 | Total reward: 26.0 | Epsilon: 0.99815
Episode 29 | Total reward: 23.0 | Epsilon: 0.99808
Saved model at step 1000
Episode 30 | Total reward: 21.0 | Epsilon: 0.99802
Episode 31 | Total reward: 23.0 | Epsilon: 0.99795
Episode 32 | Total reward: 21.0 | Epsilon: 0.99789
Episode 33 | Total reward: 21.0 | Epsilon: 0.99782
Episode 34 | Total reward: 19.0 | Epsilon: 0.99776
Episode 35 | Total reward: 24.0 | Epsilon: 0.99770
Episode 36 | Total reward: 19.0 | Epsilon: 0.99764
Episode 37 | Total reward: 20.0 | Epsilon: 0.99757
Episode 38 | Total reward: 30.0 | Epsilon: 0.99749
Saved model at step 1300
Episode 39 | Total reward: 24.0 | Epsilon: 0.99742
Episode 40 | Total reward: 20.0 | Epsilon: 0.99736
Episode 41 | Total reward: 19.0 | Epsilon: 0.99730
Episode 42 | Total reward: 23.0 | Epsilon: 0.99724
Episode 43 | Total reward: 19.0 | Epsilon: 0.99718
Episode 44 | Total reward: 20.0 | Epsilon: 0.99712
Episode 45 | Total reward: 22.0 | Epsilon: 0.99705
Episode 46 | Total reward: 27.0 | Epsilon: 0.99697
Episode 47 | Total reward: 22.0 | Epsilon: 0.99691
Episode 48 | Total reward: 20.0 | Epsilon: 0.99685
Episode 49 | Total reward: 20.0 | Epsilon: 0.99679
Episode 50 | Total reward: 18.0 | Epsilon: 0.99673
Episode 51 | Total reward: 25.0 | Epsilon: 0.99666
Episode 52 | Total reward: 19.0 | Epsilon: 0.99660
Episode 53 | Total reward: 20.0 | Epsilon: 0.99654
Episode 54 | Total reward: 22.0 | Epsilon: 0.99647
Episode 55 | Total reward: 18.0 | Epsilon: 0.99641
Episode 56 | Total reward: 23.0 | Epsilon: 0.99635
Episode 57 | Total reward: 18.0 | Epsilon: 0.99629
Episode 58 | Total reward: 18.0 | Epsilon: 0.99623
