Episode 0 | Total reward: -200.31 | Epsilon: 0.99999
Episode 1 | Total reward: -200.31 | Epsilon: 0.99998
Episode 2 | Total reward: -200.32 | Epsilon: 0.99997
Saved model at step 100
Episode 3 | Total reward: -200.31 | Epsilon: 0.99996
Episode 4 | Total reward: -200.32 | Epsilon: 0.99995
Episode 5 | Total reward: -200.29 | Epsilon: 0.99994
Episode 6 | Total reward: -200.3 | Epsilon: 0.99993
Episode 7 | Total reward: -200.31 | Epsilon: 0.99992
Episode 8 | Total reward: -200.29 | Epsilon: 0.99991
Episode 9 | Total reward: -200.36 | Epsilon: 0.99989
Episode 10 | Total reward: -200.29 | Epsilon: 0.99988
Episode 11 | Total reward: -200.3 | Epsilon: 0.99987
Episode 12 | Total reward: -200.31 | Epsilon: 0.99986
Episode 13 | Total reward: -200.3 | Epsilon: 0.99985
Episode 14 | Total reward: -200.3 | Epsilon: 0.99984
Episode 15 | Total reward: -200.29 | Epsilon: 0.99983
Episode 16 | Total reward: -200.3 | Epsilon: 0.99982
Episode 17 | Total reward: -200.31 | Epsilon: 0.99981
Episode 18 | Total reward: -200.31 | Epsilon: 0.99980
Episode 19 | Total reward: -200.34 | Epsilon: 0.99979
Episode 20 | Total reward: -200.29 | Epsilon: 0.99978
Episode 21 | Total reward: -200.32 | Epsilon: 0.99977
Episode 22 | Total reward: -200.32 | Epsilon: 0.99976
Episode 23 | Total reward: -200.29 | Epsilon: 0.99975
Episode 24 | Total reward: -200.31 | Epsilon: 0.99974
Episode 25 | Total reward: -200.29 | Epsilon: 0.99973
Episode 26 | Total reward: -200.28 | Epsilon: 0.99972
Episode 27 | Total reward: -200.28 | Epsilon: 0.99971
Episode 28 | Total reward: -200.3 | Epsilon: 0.99970
Episode 29 | Total reward: -200.3 | Epsilon: 0.99969
Episode 30 | Total reward: -200.29 | Epsilon: 0.99968
Episode 31 | Total reward: -200.31 | Epsilon: 0.99966
Episode 32 | Total reward: -200.3 | Epsilon: 0.99965
Episode 33 | Total reward: -200.32 | Epsilon: 0.99964
Episode 34 | Total reward: -200.35 | Epsilon: 0.99963
Episode 35 | Total reward: -200.28 | Epsilon: 0.99962
Episode 36 | Total reward: -200.3 | Epsilon: 0.99961
Episode 37 | Total reward: -200.3 | Epsilon: 0.99960
Saved model at step 1200
Episode 38 | Total reward: -200.31 | Epsilon: 0.99959
Episode 39 | Total reward: -200.29 | Epsilon: 0.99958
Episode 40 | Total reward: -200.29 | Epsilon: 0.99957
Episode 41 | Total reward: -200.32 | Epsilon: 0.99956
Episode 42 | Total reward: -200.32 | Epsilon: 0.99955
Episode 43 | Total reward: -200.3 | Epsilon: 0.99954
Episode 44 | Total reward: -200.31 | Epsilon: 0.99953
Episode 45 | Total reward: -200.28 | Epsilon: 0.99952
Episode 46 | Total reward: -200.31 | Epsilon: 0.99951
Episode 47 | Total reward: -200.28 | Epsilon: 0.99950
Episode 48 | Total reward: -200.29 | Epsilon: 0.99949
Episode 49 | Total reward: -200.31 | Epsilon: 0.99948
Episode 50 | Total reward: -200.31 | Epsilon: 0.99947
Episode 51 | Total reward: -200.34 | Epsilon: 0.99945
Episode 52 | Total reward: -200.3 | Epsilon: 0.99944
Episode 53 | Total reward: -200.28 | Epsilon: 0.99943
Episode 54 | Total reward: -200.3 | Epsilon: 0.99942
Episode 55 | Total reward: -200.29 | Epsilon: 0.99941
Episode 56 | Total reward: -200.3 | Epsilon: 0.99940
Episode 57 | Total reward: -200.33 | Epsilon: 0.99939
Episode 58 | Total reward: -200.31 | Epsilon: 0.99938
Episode 59 | Total reward: -200.29 | Epsilon: 0.99937
Episode 60 | Total reward: -200.31 | Epsilon: 0.99936
Episode 61 | Total reward: -200.31 | Epsilon: 0.99935
Episode 62 | Total reward: -200.31 | Epsilon: 0.99934
Episode 63 | Total reward: -200.31 | Epsilon: 0.99933
Episode 64 | Total reward: -200.31 | Epsilon: 0.99932
Episode 65 | Total reward: -200.3 | Epsilon: 0.99931
Episode 66 | Total reward: -200.32 | Epsilon: 0.99930
Episode 67 | Total reward: -200.38 | Epsilon: 0.99928
Episode 68 | Total reward: -200.32 | Epsilon: 0.99927
Episode 69 | Total reward: -200.29 | Epsilon: 0.99926
Episode 70 | Total reward: -200.31 | Epsilon: 0.99925
Episode 71 | Total reward: -200.29 | Epsilon: 0.99924
Episode 72 | Total reward: -200.3 | Epsilon: 0.99923
Episode 73 | Total reward: -200.31 | Epsilon: 0.99922
Episode 74 | Total reward: -200.32 | Epsilon: 0.99921
Episode 75 | Total reward: -200.29 | Epsilon: 0.99920
Episode 76 | Total reward: -200.32 | Epsilon: 0.99919
Episode 77 | Total reward: -200.3 | Epsilon: 0.99918
Episode 78 | Total reward: -200.31 | Epsilon: 0.99917
Episode 79 | Total reward: -200.31 | Epsilon: 0.99916
Episode 80 | Total reward: -200.3 | Epsilon: 0.99915
Episode 81 | Total reward: -200.33 | Epsilon: 0.99914
Episode 82 | Total reward: -200.35 | Epsilon: 0.99912
Episode 83 | Total reward: -200.34 | Epsilon: 0.99911
Episode 84 | Total reward: -200.32 | Epsilon: 0.99910
Episode 85 | Total reward: -200.3 | Epsilon: 0.99909
Episode 86 | Total reward: -200.3 | Epsilon: 0.99908
Episode 87 | Total reward: -200.29 | Epsilon: 0.99907
Episode 88 | Total reward: -200.31 | Epsilon: 0.99906
Episode 89 | Total reward: -200.29 | Epsilon: 0.99905
Episode 90 | Total reward: -200.3 | Epsilon: 0.99904
Episode 91 | Total reward: -200.29 | Epsilon: 0.99903
Episode 92 | Total reward: -200.31 | Epsilon: 0.99902
Episode 93 | Total reward: -200.3 | Epsilon: 0.99901
Episode 94 | Total reward: -200.3 | Epsilon: 0.99900
Episode 95 | Total reward: -200.34 | Epsilon: 0.99899
Episode 96 | Total reward: -200.29 | Epsilon: 0.99898
Episode 97 | Total reward: -200.3 | Epsilon: 0.99897
Episode 98 | Total reward: -200.29 | Epsilon: 0.99896
Episode 99 | Total reward: -200.29 | Epsilon: 0.99895
Episode 100 | Total reward: -200.33 | Epsilon: 0.99893
Episode 101 | Total reward: -200.29 | Epsilon: 0.99892
Episode 102 | Total reward: -200.32 | Epsilon: 0.99891
Episode 103 | Total reward: -200.35 | Epsilon: 0.99890
Episode 104 | Total reward: -200.29 | Epsilon: 0.99889
Episode 105 | Total reward: -200.3 | Epsilon: 0.99888
Episode 106 | Total reward: -200.28 | Epsilon: 0.99887
Episode 107 | Total reward: -200.36 | Epsilon: 0.99886
Episode 108 | Total reward: -200.35 | Epsilon: 0.99885
Episode 109 | Total reward: -200.28 | Epsilon: 0.99884
Episode 110 | Total reward: -200.3 | Epsilon: 0.99883
Episode 111 | Total reward: -200.33 | Epsilon: 0.99882
Episode 112 | Total reward: -200.32 | Epsilon: 0.99881
Episode 113 | Total reward: -200.29 | Epsilon: 0.99880
Episode 114 | Total reward: -200.29 | Epsilon: 0.99879
Episode 115 | Total reward: -200.32 | Epsilon: 0.99877
Episode 116 | Total reward: -200.33 | Epsilon: 0.99876
Episode 117 | Total reward: -200.29 | Epsilon: 0.99875
Episode 118 | Total reward: -200.29 | Epsilon: 0.99874
Episode 119 | Total reward: -200.31 | Epsilon: 0.99873
Episode 120 | Total reward: -200.3 | Epsilon: 0.99872
Episode 121 | Total reward: -200.31 | Epsilon: 0.99871
Episode 122 | Total reward: -200.33 | Epsilon: 0.99870
Episode 123 | Total reward: -200.3 | Epsilon: 0.99869
Episode 124 | Total reward: -200.37 | Epsilon: 0.99868
Episode 125 | Total reward: -200.29 | Epsilon: 0.99867
Episode 126 | Total reward: -200.33 | Epsilon: 0.99866
Episode 127 | Total reward: -200.31 | Epsilon: 0.99864
Episode 128 | Total reward: -200.31 | Epsilon: 0.99863
Episode 129 | Total reward: -200.34 | Epsilon: 0.99862
Episode 130 | Total reward: -200.31 | Epsilon: 0.99861
Episode 131 | Total reward: -200.32 | Epsilon: 0.99860
Episode 132 | Total reward: -200.29 | Epsilon: 0.99859
Episode 133 | Total reward: -200.32 | Epsilon: 0.99858
Episode 134 | Total reward: -200.32 | Epsilon: 0.99857
Episode 135 | Total reward: -200.32 | Epsilon: 0.99856
Episode 136 | Total reward: -200.46 | Epsilon: 0.99854
Episode 137 | Total reward: -200.33 | Epsilon: 0.99853
Episode 138 | Total reward: -200.35 | Epsilon: 0.99852
Episode 139 | Total reward: -200.32 | Epsilon: 0.99851
Episode 140 | Total reward: -200.29 | Epsilon: 0.99850
Episode 141 | Total reward: -200.31 | Epsilon: 0.99849
Episode 142 | Total reward: -200.32 | Epsilon: 0.99848
Episode 143 | Total reward: -200.29 | Epsilon: 0.99847
Episode 144 | Total reward: -200.31 | Epsilon: 0.99846
Episode 145 | Total reward: -200.31 | Epsilon: 0.99844
Traceback (most recent call last):
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 252, in <module>
    train()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 170, in train
    x_t1_colored, reward, terminal= game_state.frame_step(a_t)
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\game\wrapped_flappy_bird.py", line 169, in frame_step
    FPSCLOCK.tick(FPS)
KeyboardInterrupt
