No model found.
Episode 0 | Total reward: -1.8745312500000002 | Epsilon: 0.20000
Episode 1 | Total reward: -2.2221875000000004 | Epsilon: 0.19999
Saved model at step 100
Episode 2 | Total reward: -1.9721875000000002 | Epsilon: 0.19999
Episode 3 | Total reward: -200.34 | Epsilon: 0.19999
Episode 4 | Total reward: -200.36 | Epsilon: 0.19999
Episode 5 | Total reward: -2.0893750000000004 | Epsilon: 0.19998
Episode 6 | Total reward: -200.41 | Epsilon: 0.19998
Episode 7 | Total reward: -1.9292187500000002 | Epsilon: 0.19998
Episode 8 | Total reward: -1.7690625000000002 | Epsilon: 0.19997
Episode 9 | Total reward: -200.41 | Epsilon: 0.19997
Episode 10 | Total reward: -1.9253125000000002 | Epsilon: 0.19997
Saved model at step 500
Episode 11 | Total reward: -2.1128125000000004 | Epsilon: 0.19997
Episode 12 | Total reward: -200.4 | Epsilon: 0.19996
Episode 13 | Total reward: -200.39 | Epsilon: 0.19996
Episode 14 | Total reward: -200.17 | Epsilon: 0.19996
Episode 15 | Total reward: -200.17 | Epsilon: 0.19996
Episode 16 | Total reward: -1.9331250000000002 | Epsilon: 0.19995
Episode 17 | Total reward: -1.6892187500000002 | Epsilon: 0.19995
Episode 18 | Total reward: -200.47 | Epsilon: 0.19995
Episode 19 | Total reward: -200.17 | Epsilon: 0.19995
Episode 20 | Total reward: -2.2534375000000004 | Epsilon: 0.19994
Episode 21 | Total reward: -2.1518750000000004 | Epsilon: 0.19994
Episode 22 | Total reward: -1.7495312500000002 | Epsilon: 0.19994
Episode 23 | Total reward: -1.8315625000000002 | Epsilon: 0.19994
Episode 24 | Total reward: -200.46 | Epsilon: 0.19993
Episode 25 | Total reward: -1.8393750000000002 | Epsilon: 0.19993
Episode 26 | Total reward: -2.0034375000000004 | Epsilon: 0.19993
Episode 27 | Total reward: -2.0542187500000004 | Epsilon: 0.19992
Episode 28 | Total reward: -1.6579687500000002 | Epsilon: 0.19992
Episode 29 | Total reward: -2.2807812500000004 | Epsilon: 0.19992
Episode 30 | Total reward: -200.17 | Epsilon: 0.19992
Episode 31 | Total reward: -1.7260937500000002 | Epsilon: 0.19991
Episode 32 | Total reward: -200.33 | Epsilon: 0.19991
Episode 33 | Total reward: -200.37 | Epsilon: 0.19991
Episode 34 | Total reward: -200.41 | Epsilon: 0.19991
Episode 35 | Total reward: -200.42 | Epsilon: 0.19990
Episode 36 | Total reward: -1.7018750000000002 | Epsilon: 0.19990
Episode 37 | Total reward: -1.8081250000000002 | Epsilon: 0.19990
Episode 38 | Total reward: -1.6679687500000002 | Epsilon: 0.19989
Episode 39 | Total reward: -1.8471875000000002 | Epsilon: 0.19989
Episode 40 | Total reward: -200.38 | Epsilon: 0.19989
Episode 41 | Total reward: -200.39 | Epsilon: 0.19988
Episode 42 | Total reward: -1.6657812500000002 | Epsilon: 0.19988
Episode 43 | Total reward: -200.39 | Epsilon: 0.19988
Episode 44 | Total reward: -1.8589062500000002 | Epsilon: 0.19988
Episode 45 | Total reward: -200.17 | Epsilon: 0.19987
Episode 46 | Total reward: -2.1792187500000004 | Epsilon: 0.19987
Episode 47 | Total reward: -2.2182812500000004 | Epsilon: 0.19987
Episode 48 | Total reward: -200.45 | Epsilon: 0.19987
Episode 49 | Total reward: -2.0659375000000004 | Epsilon: 0.19986
Episode 50 | Total reward: -200.37 | Epsilon: 0.19986
Episode 51 | Total reward: -200.41 | Epsilon: 0.19986
Episode 52 | Total reward: -2.0659375000000004 | Epsilon: 0.19985
Episode 53 | Total reward: -1.7143750000000002 | Epsilon: 0.19985
Episode 54 | Total reward: -1.8198437500000002 | Epsilon: 0.19985
Episode 55 | Total reward: -1.6970312500000002 | Epsilon: 0.19984
Episode 56 | Total reward: -200.36 | Epsilon: 0.19984
Episode 57 | Total reward: -200.48 | Epsilon: 0.19984
Episode 58 | Total reward: -1.8706250000000002 | Epsilon: 0.19984
Episode 59 | Total reward: -1.9292187500000002 | Epsilon: 0.19983
Episode 60 | Total reward: -1.9565625000000002 | Epsilon: 0.19983
Episode 61 | Total reward: -1.7651562500000002 | Epsilon: 0.19983
Episode 62 | Total reward: -1.6892187500000002 | Epsilon: 0.19982
Episode 63 | Total reward: -1.8354687500000002 | Epsilon: 0.19982
Episode 64 | Total reward: -1.6892187500000002 | Epsilon: 0.19982
Episode 65 | Total reward: -200.47 | Epsilon: 0.19981
Episode 66 | Total reward: -200.48 | Epsilon: 0.19981
Episode 67 | Total reward: -200.32 | Epsilon: 0.19981
Episode 68 | Total reward: -2.1128125000000004 | Epsilon: 0.19981
Episode 69 | Total reward: -1.7925000000000002 | Epsilon: 0.19980
Episode 70 | Total reward: -2.0112500000000004 | Epsilon: 0.19980
Episode 71 | Total reward: -1.8510937500000002 | Epsilon: 0.19980
Episode 72 | Total reward: -200.4 | Epsilon: 0.19979
Episode 73 | Total reward: -200.48 | Epsilon: 0.19979
Episode 74 | Total reward: -1.8276562500000002 | Epsilon: 0.19979
Episode 75 | Total reward: -200.17 | Epsilon: 0.19979
Episode 76 | Total reward: -2.0659375000000004 | Epsilon: 0.19978
Episode 77 | Total reward: -200.38 | Epsilon: 0.19978
Episode 78 | Total reward: -1.8198437500000002 | Epsilon: 0.19978
Episode 79 | Total reward: -1.9917187500000002 | Epsilon: 0.19978
Episode 80 | Total reward: -200.45 | Epsilon: 0.19977
Episode 81 | Total reward: -200.43 | Epsilon: 0.19977
Episode 82 | Total reward: -1.9487500000000002 | Epsilon: 0.19977
Episode 83 | Total reward: -200.48 | Epsilon: 0.19976
Episode 84 | Total reward: -1.9057812500000002 | Epsilon: 0.19976
Episode 85 | Total reward: -1.9800000000000002 | Epsilon: 0.19976
Episode 86 | Total reward: -2.0112500000000004 | Epsilon: 0.19975
Episode 87 | Total reward: -1.9292187500000002 | Epsilon: 0.19975
Episode 88 | Total reward: -200.46 | Epsilon: 0.19975
Episode 89 | Total reward: -2.0034375000000004 | Epsilon: 0.19974
Episode 90 | Total reward: -200.42 | Epsilon: 0.19974
Episode 91 | Total reward: -200.48 | Epsilon: 0.19974
Episode 92 | Total reward: -1.9175000000000002 | Epsilon: 0.19974
Episode 93 | Total reward: -200.17 | Epsilon: 0.19973
