No model found.
Episode 0 | Total reward: -2.1500000000000004 | Epsilon: 0.09995
Episode 1 | Total reward: -5.17 | Epsilon: 0.09993
Saved model at step 100
Episode 2 | Total reward: -2.1200000000000006 | Epsilon: 0.09988
Episode 3 | Total reward: -5.17 | Epsilon: 0.09987
Episode 4 | Total reward: -5.46 | Epsilon: 0.09982
Episode 5 | Total reward: -5.17 | Epsilon: 0.09980
Saved model at step 200
Episode 6 | Total reward: -2.1000000000000005 | Epsilon: 0.09975
Episode 7 | Total reward: -5.17 | Epsilon: 0.09973
Episode 8 | Total reward: -2.22 | Epsilon: 0.09969
Episode 9 | Total reward: -5.17 | Epsilon: 0.09967
Episode 10 | Total reward: -1.7200000000000004 | Epsilon: 0.09961
Episode 11 | Total reward: -5.33 | Epsilon: 0.09958
Episode 12 | Total reward: -5.44 | Epsilon: 0.09953
Episode 13 | Total reward: -5.17 | Epsilon: 0.09951
Episode 14 | Total reward: -2.1000000000000005 | Epsilon: 0.09947
Episode 15 | Total reward: -5.17 | Epsilon: 0.09945
Episode 16 | Total reward: -2.1200000000000006 | Epsilon: 0.09940
Episode 17 | Total reward: -5.17 | Epsilon: 0.09938
Episode 18 | Total reward: -1.9100000000000004 | Epsilon: 0.09933
Episode 19 | Total reward: -5.17 | Epsilon: 0.09931
Episode 20 | Total reward: -5.38 | Epsilon: 0.09928
Episode 21 | Total reward: -1.6600000000000001 | Epsilon: 0.09922
Episode 22 | Total reward: -5.17 | Epsilon: 0.09921
Episode 23 | Total reward: -1.9800000000000002 | Epsilon: 0.09916
Episode 24 | Total reward: -1.9600000000000002 | Epsilon: 0.09911
Episode 25 | Total reward: -5.17 | Epsilon: 0.09909
Episode 26 | Total reward: -1.7400000000000004 | Epsilon: 0.09903
Episode 27 | Total reward: -5.17 | Epsilon: 0.09901
Episode 28 | Total reward: -5.17 | Epsilon: 0.09900
Episode 29 | Total reward: -5.3500000000000005 | Epsilon: 0.09896
Episode 30 | Total reward: -5.32 | Epsilon: 0.09893
Episode 31 | Total reward: -5.3 | Epsilon: 0.09890
Episode 32 | Total reward: -5.3 | Epsilon: 0.09887
Episode 33 | Total reward: -5.3 | Epsilon: 0.09884
Episode 34 | Total reward: -2.0800000000000005 | Epsilon: 0.09879
Episode 35 | Total reward: -5.3 | Epsilon: 0.09876
Episode 36 | Total reward: -5.3 | Epsilon: 0.09873
Episode 37 | Total reward: -5.3 | Epsilon: 0.09870
Episode 38 | Total reward: -5.3100000000000005 | Epsilon: 0.09866
Episode 39 | Total reward: 2.9200000000000053 | Epsilon: 0.09858
Episode 40 | Total reward: -5.430000000000001 | Epsilon: 0.09854
Episode 41 | Total reward: -5.17 | Epsilon: 0.09852
Episode 42 | Total reward: -1.7700000000000002 | Epsilon: 0.09847
Episode 43 | Total reward: -5.3 | Epsilon: 0.09844
Episode 44 | Total reward: -2.0300000000000002 | Epsilon: 0.09839
Episode 45 | Total reward: -5.3 | Epsilon: 0.09836
Episode 46 | Total reward: -1.6500000000000004 | Epsilon: 0.09831
Episode 47 | Total reward: -5.17 | Epsilon: 0.09830
Episode 48 | Total reward: -1.8300000000000003 | Epsilon: 0.09825
Episode 49 | Total reward: -5.17 | Epsilon: 0.09823
Episode 50 | Total reward: -5.470000000000001 | Epsilon: 0.09818
Episode 51 | Total reward: -5.17 | Epsilon: 0.09817
Episode 52 | Total reward: -5.390000000000001 | Epsilon: 0.09813
Episode 53 | Total reward: -5.3 | Epsilon: 0.09810
Episode 54 | Total reward: -5.32 | Epsilon: 0.09806
Episode 55 | Total reward: -5.3 | Epsilon: 0.09803
Episode 56 | Total reward: -5.3 | Epsilon: 0.09800
Episode 57 | Total reward: -5.3 | Epsilon: 0.09797
Episode 58 | Total reward: -5.3100000000000005 | Epsilon: 0.09794
Episode 59 | Total reward: -1.9100000000000004 | Epsilon: 0.09789
Episode 60 | Total reward: -5.34 | Epsilon: 0.09786
Episode 61 | Total reward: -5.34 | Epsilon: 0.09782
Episode 62 | Total reward: -5.17 | Epsilon: 0.09781
Episode 63 | Total reward: -5.4 | Epsilon: 0.09777
Episode 64 | Total reward: -1.7300000000000002 | Epsilon: 0.09772
Episode 65 | Total reward: -5.17 | Epsilon: 0.09770
Episode 66 | Total reward: -1.7300000000000002 | Epsilon: 0.09765
Episode 67 | Total reward: -5.430000000000001 | Epsilon: 0.09761
Episode 68 | Total reward: -2.1900000000000004 | Epsilon: 0.09756
Episode 69 | Total reward: -1.7400000000000004 | Epsilon: 0.09750
Episode 70 | Total reward: -1.9300000000000002 | Epsilon: 0.09746
Episode 71 | Total reward: -5.17 | Epsilon: 0.09744
Episode 72 | Total reward: -1.9600000000000002 | Epsilon: 0.09739
Episode 73 | Total reward: -5.3100000000000005 | Epsilon: 0.09736
Episode 74 | Total reward: -5.3 | Epsilon: 0.09733
Episode 75 | Total reward: -1.86 | Epsilon: 0.09728
Episode 76 | Total reward: -5.34 | Epsilon: 0.09725
Episode 77 | Total reward: -2.1900000000000004 | Epsilon: 0.09720
Episode 78 | Total reward: -5.17 | Epsilon: 0.09718
Episode 79 | Total reward: -2.0000000000000004 | Epsilon: 0.09714
Episode 80 | Total reward: -5.17 | Epsilon: 0.09712
Episode 81 | Total reward: -5.17 | Epsilon: 0.09710
Episode 82 | Total reward: -5.390000000000001 | Epsilon: 0.09706
Episode 83 | Total reward: -1.7300000000000002 | Epsilon: 0.09701
Episode 84 | Total reward: -1.7700000000000002 | Epsilon: 0.09697
Episode 85 | Total reward: -1.7100000000000002 | Epsilon: 0.09692
Episode 86 | Total reward: -5.34 | Epsilon: 0.09689
Episode 87 | Total reward: -5.3500000000000005 | Epsilon: 0.09685
Episode 88 | Total reward: 3.210000000000001 | Epsilon: 0.09679
Episode 89 | Total reward: -2.18 | Epsilon: 0.09674
Episode 90 | Total reward: 3.0000000000000053 | Epsilon: 0.09666
Episode 91 | Total reward: -5.17 | Epsilon: 0.09664
Episode 92 | Total reward: -1.8700000000000003 | Epsilon: 0.09659
Episode 93 | Total reward: -2.1500000000000004 | Epsilon: 0.09655
Episode 94 | Total reward: -5.3100000000000005 | Epsilon: 0.09652
Episode 95 | Total reward: -1.84 | Epsilon: 0.09647
Episode 96 | Total reward: -5.17 | Epsilon: 0.09645
Episode 97 | Total reward: -1.6600000000000001 | Epsilon: 0.09640
Episode 98 | Total reward: -5.3 | Epsilon: 0.09637
Episode 99 | Total reward: -1.86 | Epsilon: 0.09633
Episode 100 | Total reward: -5.33 | Epsilon: 0.09629
Episode 101 | Total reward: -5.17 | Epsilon: 0.09628
Episode 102 | Total reward: -5.17 | Epsilon: 0.09626
Episode 103 | Total reward: -5.44 | Epsilon: 0.09621
Episode 104 | Total reward: -5.3 | Epsilon: 0.09618
Episode 105 | Total reward: -5.3 | Epsilon: 0.09615
Episode 106 | Total reward: -5.34 | Epsilon: 0.09612
Episode 107 | Total reward: -5.3 | Epsilon: 0.09609
Episode 108 | Total reward: -5.3500000000000005 | Epsilon: 0.09606
Episode 109 | Total reward: -1.9800000000000002 | Epsilon: 0.09601
Episode 110 | Total reward: -1.86 | Epsilon: 0.09596
Episode 111 | Total reward: -1.9800000000000002 | Epsilon: 0.09592
Episode 112 | Total reward: -5.17 | Epsilon: 0.09590
Episode 113 | Total reward: -5.17 | Epsilon: 0.09588
Episode 114 | Total reward: -5.33 | Epsilon: 0.09585
Episode 115 | Total reward: -5.34 | Epsilon: 0.09582
Episode 116 | Total reward: -5.34 | Epsilon: 0.09578
Episode 117 | Total reward: -5.4 | Epsilon: 0.09574
Episode 118 | Total reward: -5.33 | Epsilon: 0.09571
Episode 119 | Total reward: -5.3100000000000005 | Epsilon: 0.09568
Episode 120 | Total reward: -5.34 | Epsilon: 0.09565
Episode 121 | Total reward: -1.7000000000000002 | Epsilon: 0.09560
Episode 122 | Total reward: -5.17 | Epsilon: 0.09558
Episode 123 | Total reward: -5.17 | Epsilon: 0.09556
Episode 124 | Total reward: -5.42 | Epsilon: 0.09552
Episode 125 | Total reward: -5.3 | Epsilon: 0.09549
Episode 126 | Total reward: -5.3 | Epsilon: 0.09546
Episode 127 | Total reward: -5.3 | Epsilon: 0.09543
Episode 128 | Total reward: -1.9400000000000002 | Epsilon: 0.09539
Episode 129 | Total reward: -5.33 | Epsilon: 0.09536
Episode 130 | Total reward: -5.17 | Epsilon: 0.09534
Episode 131 | Total reward: -5.17 | Epsilon: 0.09532
Episode 132 | Total reward: -5.17 | Epsilon: 0.09530
Episode 133 | Total reward: -5.4 | Epsilon: 0.09526
Episode 134 | Total reward: -5.3500000000000005 | Epsilon: 0.09523
Episode 135 | Total reward: -2.18 | Epsilon: 0.09518
Episode 136 | Total reward: -1.8700000000000003 | Epsilon: 0.09514
Episode 137 | Total reward: -5.17 | Epsilon: 0.09512
Episode 138 | Total reward: -5.33 | Epsilon: 0.09509
Episode 139 | Total reward: -5.17 | Epsilon: 0.09507
Episode 140 | Total reward: -1.8800000000000001 | Epsilon: 0.09502
Episode 141 | Total reward: -5.34 | Epsilon: 0.09499
Episode 142 | Total reward: -1.6700000000000004 | Epsilon: 0.09494
Episode 143 | Total reward: -5.3100000000000005 | Epsilon: 0.09491
Episode 144 | Total reward: -2.22 | Epsilon: 0.09487
Episode 145 | Total reward: -5.4 | Epsilon: 0.09483
Episode 146 | Total reward: -5.3 | Epsilon: 0.09480
Episode 147 | Total reward: -5.3 | Epsilon: 0.09477
Episode 148 | Total reward: -1.7300000000000002 | Epsilon: 0.09472
Episode 149 | Total reward: -5.17 | Epsilon: 0.09471
Episode 150 | Total reward: -1.9300000000000002 | Epsilon: 0.09466
Episode 151 | Total reward: 2.7000000000000055 | Epsilon: 0.09458
Episode 152 | Total reward: -5.17 | Epsilon: 0.09456
Episode 153 | Total reward: -5.17 | Epsilon: 0.09454
Episode 154 | Total reward: -1.6600000000000004 | Epsilon: 0.09450
Episode 155 | Total reward: -5.17 | Epsilon: 0.09448
Episode 156 | Total reward: -5.17 | Epsilon: 0.09446
Episode 157 | Total reward: -1.7400000000000002 | Epsilon: 0.09442
Episode 158 | Total reward: -1.7300000000000004 | Epsilon: 0.09436
Episode 159 | Total reward: -5.3 | Epsilon: 0.09433
Episode 160 | Total reward: -1.9800000000000002 | Epsilon: 0.09429
Episode 161 | Total reward: -2.22 | Epsilon: 0.09424
Episode 162 | Total reward: -1.6600000000000004 | Epsilon: 0.09419
Episode 163 | Total reward: -2.0500000000000003 | Epsilon: 0.09415
Episode 164 | Total reward: -5.17 | Epsilon: 0.09413
Episode 165 | Total reward: -5.44 | Epsilon: 0.09409
Episode 166 | Total reward: -1.6900000000000002 | Epsilon: 0.09404
Episode 167 | Total reward: -5.38 | Epsilon: 0.09400
Episode 168 | Total reward: -5.3 | Epsilon: 0.09397
Episode 169 | Total reward: -5.3 | Epsilon: 0.09394
Episode 170 | Total reward: -1.6700000000000004 | Epsilon: 0.09389
Episode 171 | Total reward: -5.390000000000001 | Epsilon: 0.09386
Episode 172 | Total reward: -1.7200000000000004 | Epsilon: 0.09380
Episode 173 | Total reward: -1.84 | Epsilon: 0.09376
Episode 174 | Total reward: -5.33 | Epsilon: 0.09373
Episode 175 | Total reward: -5.17 | Epsilon: 0.09371
Episode 176 | Total reward: -5.17 | Epsilon: 0.09369
Episode 177 | Total reward: -1.7800000000000002 | Epsilon: 0.09365
Episode 178 | Total reward: -1.7400000000000004 | Epsilon: 0.09359
Episode 179 | Total reward: -5.3 | Epsilon: 0.09356
Episode 180 | Total reward: -5.3 | Epsilon: 0.09353
Episode 181 | Total reward: -1.8100000000000003 | Epsilon: 0.09349
Episode 182 | Total reward: -5.430000000000001 | Epsilon: 0.09345
Episode 183 | Total reward: -2.1900000000000004 | Epsilon: 0.09340
Episode 184 | Total reward: -1.8900000000000003 | Epsilon: 0.09336
Episode 185 | Total reward: -5.17 | Epsilon: 0.09334
Episode 186 | Total reward: -1.9400000000000002 | Epsilon: 0.09329
Episode 187 | Total reward: -5.33 | Epsilon: 0.09326
Episode 188 | Total reward: -5.17 | Epsilon: 0.09324
Episode 189 | Total reward: -5.17 | Epsilon: 0.09323
Episode 190 | Total reward: -1.6600000000000004 | Epsilon: 0.09318
Episode 191 | Total reward: -5.3 | Epsilon: 0.09315
Episode 192 | Total reward: -5.3 | Epsilon: 0.09312
Episode 193 | Total reward: -2.18 | Epsilon: 0.09308
Episode 194 | Total reward: -5.34 | Epsilon: 0.09304
Episode 195 | Total reward: -5.38 | Epsilon: 0.09301
Episode 196 | Total reward: -1.8700000000000003 | Epsilon: 0.09296
Episode 197 | Total reward: -1.7200000000000002 | Epsilon: 0.09291
Episode 198 | Total reward: -5.17 | Epsilon: 0.09290
Episode 199 | Total reward: -1.8500000000000003 | Epsilon: 0.09285
Episode 200 | Total reward: -5.44 | Epsilon: 0.09281
Episode 201 | Total reward: -1.7800000000000002 | Epsilon: 0.09276
Episode 202 | Total reward: -5.34 | Epsilon: 0.09273
Episode 203 | Total reward: -5.17 | Epsilon: 0.09271
Episode 204 | Total reward: -5.17 | Epsilon: 0.09270
Episode 205 | Total reward: -2.06 | Epsilon: 0.09266
Episode 206 | Total reward: -5.34 | Epsilon: 0.09263
Episode 207 | Total reward: -5.36 | Epsilon: 0.09260
Episode 208 | Total reward: -5.3100000000000005 | Epsilon: 0.09257
Episode 209 | Total reward: -5.4 | Epsilon: 0.09253
Episode 210 | Total reward: -5.3100000000000005 | Epsilon: 0.09250
Episode 211 | Total reward: -5.3 | Epsilon: 0.09247
Episode 212 | Total reward: -5.3 | Epsilon: 0.09244
Episode 213 | Total reward: -1.84 | Epsilon: 0.09240
Episode 214 | Total reward: -5.17 | Epsilon: 0.09238
Episode 215 | Total reward: -5.17 | Epsilon: 0.09236
Episode 216 | Total reward: -5.17 | Epsilon: 0.09235
Episode 217 | Total reward: -1.6800000000000002 | Epsilon: 0.09230
Episode 218 | Total reward: -5.17 | Epsilon: 0.09229
Episode 219 | Total reward: -5.17 | Epsilon: 0.09227
Episode 220 | Total reward: -5.17 | Epsilon: 0.09225
Episode 221 | Total reward: -5.17 | Epsilon: 0.09224
Episode 222 | Total reward: -2.14 | Epsilon: 0.09219
Episode 223 | Total reward: -1.6800000000000004 | Epsilon: 0.09214
Episode 224 | Total reward: -5.17 | Epsilon: 0.09213
Episode 225 | Total reward: -1.7300000000000002 | Epsilon: 0.09208
Episode 226 | Total reward: -5.41 | Epsilon: 0.09204
Episode 227 | Total reward: -5.17 | Epsilon: 0.09202
Episode 228 | Total reward: -5.17 | Epsilon: 0.09201
Episode 229 | Total reward: -1.6900000000000004 | Epsilon: 0.09196
Episode 230 | Total reward: -5.3 | Epsilon: 0.09193
