Episode 0 | Total reward: 9.9094609375 | Epsilon: 0.09997
Episode 1 | Total reward: 10.988558593749996 | Epsilon: 0.09993
Saved model at step 100
Episode 2 | Total reward: 12.430796874999995 | Epsilon: 0.09989
Episode 3 | Total reward: 11.73937890625 | Epsilon: 0.09986
Episode 4 | Total reward: 12.289011718750007 | Epsilon: 0.09982
Episode 5 | Total reward: 10.539070312499994 | Epsilon: 0.09979
Episode 6 | Total reward: 10.488199218749994 | Epsilon: 0.09975
Episode 7 | Total reward: 10.545984374999996 | Epsilon: 0.09971
Episode 8 | Total reward: 9.969894531250002 | Epsilon: 0.09968
Episode 9 | Total reward: 10.4145859375 | Epsilon: 0.09964
Episode 10 | Total reward: 11.700605468749995 | Epsilon: 0.09960
Episode 11 | Total reward: 11.184999999999999 | Epsilon: 0.09957
Episode 12 | Total reward: 11.809699218749998 | Epsilon: 0.09953
Episode 13 | Total reward: 10.883031250000009 | Epsilon: 0.09950
Episode 14 | Total reward: 10.457992187500004 | Epsilon: 0.09946
Episode 15 | Total reward: 8.681792968749999 | Epsilon: 0.09942
Episode 16 | Total reward: 12.837468749999989 | Epsilon: 0.09939
Episode 17 | Total reward: 10.636890625 | Epsilon: 0.09935
Episode 18 | Total reward: 10.5429140625 | Epsilon: 0.09931
Episode 19 | Total reward: 11.862550781250004 | Epsilon: 0.09928
Episode 20 | Total reward: 12.289011718750007 | Epsilon: 0.09924
Episode 21 | Total reward: 8.828085937499996 | Epsilon: 0.09921
Episode 22 | Total reward: 10.53033984375 | Epsilon: 0.09917
Episode 23 | Total reward: 10.156941406249995 | Epsilon: 0.09914
Episode 24 | Total reward: 9.903359375 | Epsilon: 0.09910
Episode 25 | Total reward: 9.3026484375 | Epsilon: 0.09906
Episode 26 | Total reward: 9.25735546875 | Epsilon: 0.09903
Episode 27 | Total reward: 11.027699218750016 | Epsilon: 0.09899
Episode 28 | Total reward: 9.735394531249998 | Epsilon: 0.09896
Episode 29 | Total reward: 12.954589843749996 | Epsilon: 0.09892
Episode 30 | Total reward: 11.482640625000002 | Epsilon: 0.09888
Episode 31 | Total reward: 10.749542968750006 | Epsilon: 0.09884
Episode 32 | Total reward: 11.932769531249999 | Epsilon: 0.09881
Episode 33 | Total reward: 15.407976562499993 | Epsilon: 0.09877
Episode 34 | Total reward: 11.171812499999998 | Epsilon: 0.09873
Episode 35 | Total reward: 11.534785156249995 | Epsilon: 0.09869
Episode 36 | Total reward: 12.851874999999996 | Epsilon: 0.09865
Episode 37 | Total reward: 9.26094921875 | Epsilon: 0.09861
Episode 38 | Total reward: 21.808179687499997 | Epsilon: 0.09857
Saved model at step 1500
Episode 39 | Total reward: 29.14486328124999 | Epsilon: 0.09850
Episode 40 | Total reward: 13.39519140625 | Epsilon: 0.09846
Episode 41 | Total reward: 15.1338203125 | Epsilon: 0.09842
Episode 42 | Total reward: 14.161249999999999 | Epsilon: 0.09838
Episode 43 | Total reward: 11.208636718749997 | Epsilon: 0.09835
Episode 44 | Total reward: 9.94752734375 | Epsilon: 0.09832
Episode 45 | Total reward: 13.107773437499993 | Epsilon: 0.09828
Episode 46 | Total reward: -3.478023437500001 | Epsilon: 0.09826
Episode 47 | Total reward: 9.59001953125 | Epsilon: 0.09822
Episode 48 | Total reward: 9.909628906249996 | Epsilon: 0.09819
Episode 49 | Total reward: 10.47769921875 | Epsilon: 0.09816
Episode 50 | Total reward: 13.05104296875 | Epsilon: 0.09811
Episode 51 | Total reward: 11.763421875000006 | Epsilon: 0.09808
Episode 52 | Total reward: 8.620500000000003 | Epsilon: 0.09805
Episode 53 | Total reward: 10.847703125000002 | Epsilon: 0.09801
Episode 54 | Total reward: 25.23935546874999 | Epsilon: 0.09795
Episode 55 | Total reward: 10.208546875 | Epsilon: 0.09791
Episode 56 | Total reward: 10.44234765625 | Epsilon: 0.09788
Episode 57 | Total reward: 10.498542968749994 | Epsilon: 0.09785
Episode 58 | Total reward: 11.280878906249999 | Epsilon: 0.09781
Episode 59 | Total reward: 11.53956640625 | Epsilon: 0.09778
Episode 60 | Total reward: 9.521925781250001 | Epsilon: 0.09774
Episode 61 | Total reward: 10.839621093749997 | Epsilon: 0.09771
Episode 62 | Total reward: 11.253289062499999 | Epsilon: 0.09767
Episode 63 | Total reward: 11.4288515625 | Epsilon: 0.09763
Episode 64 | Total reward: 12.486136718749993 | Epsilon: 0.09760
Episode 65 | Total reward: 11.12418359375 | Epsilon: 0.09756
Episode 66 | Total reward: 11.16346875 | Epsilon: 0.09753
Episode 67 | Total reward: 12.272277343749998 | Epsilon: 0.09749
